target_name,repeat,split_seed,model,n_test,n_pos_test,auc,partial_auc_fpr_0_05_raw,average_precision
NON FIBROTIC ILA ADJUDICATED,1,2141662780,zebra,7730,46,0.876428716927325,0.011786207364823576,0.04284295904418252
NON FIBROTIC ILA ADJUDICATED,1,2141662780,genomic,7730,46,0.506727700699364,0.0,0.005744734687058779
NON FIBROTIC ILA ADJUDICATED,1,2141662780,combined,7730,46,0.724478306135844,0.002990969377362334,0.013584818454319296
NON FIBROTIC ILA ADJUDICATED,2,518215416,zebra,7730,46,0.8506184505352736,0.010537423896068623,0.03988595020582074
NON FIBROTIC ILA ADJUDICATED,2,518215416,genomic,7730,46,0.39466253989090827,0.0,0.004544718603824093
NON FIBROTIC ILA ADJUDICATED,2,518215416,combined,7730,46,0.7551716723626734,0.0018423375506416498,0.013080383550869107
NON FIBROTIC ILA ADJUDICATED,3,1308196177,zebra,7730,46,0.8382777312541023,0.011541203630355566,0.04421393288593098
NON FIBROTIC ILA ADJUDICATED,3,1308196177,genomic,7730,46,0.5214760201887604,0.002151845732521558,0.007374462963320233
NON FIBROTIC ILA ADJUDICATED,3,1308196177,combined,7730,46,0.7455073218206099,0.004513613833374828,0.015331211961102573
NON FIBROTIC ILA ADJUDICATED,4,302333297,zebra,7730,46,0.8458810515356585,0.00996169341149311,0.03854056887634644
NON FIBROTIC ILA ADJUDICATED,4,302333297,genomic,7730,46,0.48080002489645346,0.0013767319636884855,0.005989930714097468
NON FIBROTIC ILA ADJUDICATED,4,302333297,combined,7730,46,0.5739481248443972,0.003302175044700451,0.016208767819124923
NON FIBROTIC ILA ADJUDICATED,5,12131907,zebra,7730,46,0.8774443790598194,0.012391078016431661,0.04605384390688746
NON FIBROTIC ILA ADJUDICATED,5,12131907,genomic,7730,46,0.42989667971844375,0.0007276554330851232,0.005027871143484818
NON FIBROTIC ILA ADJUDICATED,5,12131907,combined,7730,46,0.7161153611117399,0.005500984541565762,0.01659256297082494
NON FIBROTIC ILA ADJUDICATED,6,1221220825,zebra,7730,46,0.8435512527442681,0.00929090374125795,0.03469811520529185
NON FIBROTIC ILA ADJUDICATED,6,1221220825,genomic,7730,46,0.5629371025054886,0.002508883507231288,0.008651011020166634
NON FIBROTIC ILA ADJUDICATED,6,1221220825,combined,7730,46,0.7930708643595953,0.005426861009890684,0.02073653426936759
NON FIBROTIC ILA ADJUDICATED,7,1360402001,zebra,7730,46,0.8664432587194171,0.012486420116334338,0.04581200192349216
NON FIBROTIC ILA ADJUDICATED,7,1360402001,genomic,7730,46,0.3871539958807686,0.0,0.004480468747970948
NON FIBROTIC ILA ADJUDICATED,7,1360402001,combined,7730,46,0.7061907294660843,0.005425163524432473,0.018351185155085638
NON FIBROTIC ILA ADJUDICATED,8,1066917430,zebra,7730,46,0.8760906344068986,0.013283672453205986,0.058961658609519754
NON FIBROTIC ILA ADJUDICATED,8,1066917430,genomic,7730,46,0.48349195391892813,0.0009689296882881065,0.005819682844523522
NON FIBROTIC ILA ADJUDICATED,8,1066917430,combined,7730,46,0.7601735961795261,0.003760496118416586,0.016385057682615473
NON FIBROTIC ILA ADJUDICATED,9,393038078,zebra,7730,46,0.8424705203358758,0.008328429486454066,0.03264637944832266
NON FIBROTIC ILA ADJUDICATED,9,393038078,genomic,7730,46,0.47273555439875065,0.00115250779937605,0.0057200505114438065
NON FIBROTIC ILA ADJUDICATED,9,393038078,combined,7730,46,0.6826579227304619,0.005841613290179482,0.017359907837470254
NON FIBROTIC ILA ADJUDICATED,10,1542086660,zebra,7730,46,0.8574720480727881,0.010614093655931016,0.03809282312179963
NON FIBROTIC ILA ADJUDICATED,10,1542086660,genomic,7730,46,0.5353557929520404,0.001269153294253446,0.007469615686921338
NON FIBROTIC ILA ADJUDICATED,10,1542086660,combined,7730,46,0.7585355227123554,0.006363872982821449,0.02094675333918581
