target_name,repeat,split_seed,model,n_test,n_pos_test,auc,partial_auc_fpr_0_05_raw,average_precision
FILD or FILA ADJUDICATED,1,793387248,zebra_raw,7695,152,0.8093714458159187,0.017406823684559404,0.22928174553106223
FILD or FILA ADJUDICATED,1,793387248,zebra_isotonic,7695,152,0.8019573742124101,0.01713535440181943,0.21051241391811987
FILD or FILA ADJUDICATED,1,793387248,genomic_raw,7695,152,0.5629766531534989,0.0018547171654444347,0.02547057677271703
FILD or FILA ADJUDICATED,1,793387248,genomic_isotonic,7695,152,0.556177041104684,0.001864044240400668,0.022940960848185678
FILD or FILA ADJUDICATED,1,793387248,combined_raw,7695,152,0.7999722642812787,0.01832319264288256,0.24494620609971712
FILD or FILA ADJUDICATED,1,793387248,combined_isotonic,7695,152,0.7941547408890781,0.018123552358820592,0.2177878911099134
FILD or FILA ADJUDICATED,2,2080380566,zebra_raw,7695,152,0.8070706022314169,0.017922289400420052,0.2356482388580792
FILD or FILA ADJUDICATED,2,2080380566,zebra_isotonic,7695,152,0.8021361736569982,0.017974694617170845,0.21755408543814753
FILD or FILA ADJUDICATED,2,2080380566,genomic_raw,7695,152,0.5692634160636909,0.0019209165695625783,0.026457253341145508
FILD or FILA ADJUDICATED,2,2080380566,genomic_isotonic,7695,152,0.5693253417249873,0.001841826866845299,0.024381570175493986
FILD or FILA ADJUDICATED,2,2080380566,combined_raw,7695,152,0.777118206493298,0.016949489593000133,0.19488650909284957
FILD or FILA ADJUDICATED,2,2080380566,combined_isotonic,7695,152,0.7751910973576059,0.016938830587032654,0.17632240089431594
FILD or FILA ADJUDICATED,3,1856236192,zebra_raw,7695,152,0.8248079432307402,0.01772151070703406,0.24800405229488542
FILD or FILA ADJUDICATED,3,1856236192,zebra_isotonic,7695,152,0.8205930733967359,0.017747198550456374,0.23478732452200105
FILD or FILA ADJUDICATED,3,1856236192,genomic_raw,7695,152,0.5492361338850241,0.0016276854804384688,0.02470635874625602
FILD or FILA ADJUDICATED,3,1856236192,genomic_isotonic,7695,152,0.5505387532532777,0.0018614227885630581,0.02292449890051688
FILD or FILA ADJUDICATED,3,1856236192,combined_raw,7695,152,0.7937387051082565,0.016123741426348585,0.22146803542390647
FILD or FILA ADJUDICATED,3,1856236192,combined_isotonic,7695,152,0.7855959167440011,0.016198306275234352,0.1944344346190892
FILD or FILA ADJUDICATED,4,344941306,zebra_raw,7695,152,0.8089017702017207,0.017162042883956542,0.22203221128950149
FILD or FILA ADJUDICATED,4,344941306,zebra_isotonic,7695,152,0.8012408681454397,0.017111964035355122,0.20004991964096272
FILD or FILA ADJUDICATED,4,344941306,genomic_raw,7695,152,0.5600896962677143,0.0023523901560875545,0.025489534469664173
FILD or FILA ADJUDICATED,4,344941306,genomic_isotonic,7695,152,0.5349967205565286,0.0021332627882287066,0.02204164681107264
FILD or FILA ADJUDICATED,4,344941306,combined_raw,7695,152,0.7925656063132775,0.01712139871752828,0.24886342689757215
FILD or FILA ADJUDICATED,4,344941306,combined_isotonic,7695,152,0.7879168207539928,0.016674798069201288,0.19821443986649942
FILD or FILA ADJUDICATED,5,1150510078,zebra_raw,7695,152,0.8053074652692981,0.016622766315231272,0.23557578729496378
FILD or FILA ADJUDICATED,5,1150510078,zebra_isotonic,7695,152,0.7982989631376598,0.016485078802066348,0.22326594581999468
FILD or FILA ADJUDICATED,5,1150510078,genomic_raw,7695,152,0.5712319543389828,0.0018769144623457094,0.026024963324847078
FILD or FILA ADJUDICATED,5,1150510078,genomic_isotonic,7695,152,0.5442000948945345,0.0021626986695199774,0.022599665066591702
FILD or FILA ADJUDICATED,5,1150510078,combined_raw,7695,152,0.7942969082523356,0.01597298296782657,0.20305143728689587
FILD or FILA ADJUDICATED,5,1150510078,combined_isotonic,7695,152,0.7911997529951087,0.015573515608263904,0.17465744467572697
FILD or FILA ADJUDICATED,6,1056497211,zebra_raw,7695,152,0.8262448802305379,0.018303829971322315,0.260553335964416
FILD or FILA ADJUDICATED,6,1056497211,zebra_isotonic,7695,152,0.8206414800756366,0.018323104241167853,0.2449881421863556
FILD or FILA ADJUDICATED,6,1056497211,genomic_raw,7695,152,0.563748543438671,0.0012751016976353122,0.023505998503016642
FILD or FILA ADJUDICATED,6,1056497211,genomic_isotonic,7695,152,0.5701648269221377,0.0013499551945300127,0.02368799953356686
FILD or FILA ADJUDICATED,6,1056497211,combined_raw,7695,152,0.7949719851797066,0.012971114731678727,0.1378511401359984
FILD or FILA ADJUDICATED,6,1056497211,combined_isotonic,7695,152,0.7832811180808977,0.012418139412654869,0.10552121380335337
FILD or FILA ADJUDICATED,7,1439170442,zebra_raw,7695,152,0.8206667736556027,0.01854734609292687,0.2662505459656052
FILD or FILA ADJUDICATED,7,1439170442,zebra_isotonic,7695,152,0.809111968573163,0.018539784639406885,0.24588519778054868
FILD or FILA ADJUDICATED,7,1439170442,genomic_raw,7695,152,0.5520480822233231,0.0022762477584655,0.02805466863633457
FILD or FILA ADJUDICATED,7,1439170442,genomic_isotonic,7695,152,0.5419171312544918,0.0021524696812415863,0.022382835011633708
FILD or FILA ADJUDICATED,7,1439170442,combined_raw,7695,152,0.8151867887270875,0.018614374079837008,0.2713246572298447
FILD or FILA ADJUDICATED,7,1439170442,combined_isotonic,7695,152,0.7978118436752094,0.018552470205146644,0.2583848601484404
FILD or FILA ADJUDICATED,8,284541068,zebra_raw,7695,152,0.8066131373109959,0.017097762303146174,0.224844571503252
FILD or FILA ADJUDICATED,8,284541068,zebra_isotonic,7695,152,0.7965423676186355,0.015019799266162225,0.1876160640751075
FILD or FILA ADJUDICATED,8,284541068,genomic_raw,7695,152,0.5086599984649414,0.002485573937495203,0.02305438733427486
FILD or FILA ADJUDICATED,8,284541068,genomic_isotonic,7695,152,0.5201293286909439,0.0018971121607981411,0.021313044928367837
FILD or FILA ADJUDICATED,8,284541068,combined_raw,7695,152,0.7801464585499278,0.01458017890410768,0.19193468034002417
