target_name,repeat,split_seed,model,n_test,n_pos_test,auc,partial_auc_fpr_0_05_raw,average_precision
FILD or FILA ADJUDICATED,9,1181390663,zebra,7730,163,0.8356465472859633,0.017637854390350094,0.24144892304370302
FILD or FILA ADJUDICATED,9,1181390663,genomic,7730,163,0.5028477705503636,0.0017608342974539922,0.022746453044351193
FILD or FILA ADJUDICATED,9,1181390663,combined,7730,163,0.8141429406504348,0.0150166893542432,0.16803670154918582
FILD or FILA ADJUDICATED,10,1373641850,zebra,7730,163,0.8517854001188565,0.019546448455150352,0.2785297289792881
FILD or FILA ADJUDICATED,10,1373641850,genomic,7730,163,0.5585197592711654,0.0024227331949107406,0.02820657432336336
FILD or FILA ADJUDICATED,10,1373641850,combined,7730,163,0.8435586875851798,0.01876411217256719,0.23511262787015969
NONFIBROTIC ILD ADJUDICATED,1,410321031,zebra,7730,18,0.839096357768557,0.007813220378054403,0.012064336481758343
NONFIBROTIC ILD ADJUDICATED,1,410321031,genomic,7730,18,0.4708246887966805,0.0,0.002328589909443726
NONFIBROTIC ILD ADJUDICATED,1,410321031,combined,7730,18,0.57177846934071,0.004508125864453666,0.004367442623766683
NONFIBROTIC ILD ADJUDICATED,2,2087110707,zebra,7730,18,0.8472654449054865,0.008372233748271094,0.011542222955143965
NONFIBROTIC ILD ADJUDICATED,2,2087110707,genomic,7730,18,0.45223173121254034,0.0,0.0021199357100938412
NONFIBROTIC ILD ADJUDICATED,2,2087110707,combined,7730,18,0.25465364223144304,0.002230290456431535,0.0022017569168818977
NONFIBROTIC ILD ADJUDICATED,3,557611829,zebra,7730,18,0.8416104771784233,0.007647533425541725,0.011850746560798393
NONFIBROTIC ILD ADJUDICATED,3,557611829,genomic,7730,18,0.4561577916090364,0.0,0.0022705259312714356
NONFIBROTIC ILD ADJUDICATED,3,557611829,combined,7730,18,0.6451417704011067,0.0012649838635315817,0.0038019827506793266
NONFIBROTIC ILD ADJUDICATED,4,833402056,zebra,7730,18,0.8698204817888427,0.015710004610419548,0.02713758322191277
NONFIBROTIC ILD ADJUDICATED,4,833402056,genomic,7730,18,0.5201705855232827,0.001815442561205273,0.0027585965755279494
NONFIBROTIC ILD ADJUDICATED,4,833402056,combined,7730,18,0.6614583333333334,0.0009307284462886128,0.004053373815261251
NONFIBROTIC ILD ADJUDICATED,5,1459228717,zebra,7730,18,0.8846098432457353,0.009640099124020286,0.01595873752842692
NONFIBROTIC ILD ADJUDICATED,5,1459228717,genomic,7730,18,0.42654665168280315,0.0,0.0020806232442054148
NONFIBROTIC ILD ADJUDICATED,5,1459228717,combined,7730,18,0.44900443752881514,0.003228734439834025,0.0033918232275353954
NONFIBROTIC ILD ADJUDICATED,6,403110785,zebra,7730,18,0.8626995447210696,0.00822023397879207,0.012128664361581637
NONFIBROTIC ILD ADJUDICATED,6,403110785,genomic,7730,18,0.45269277316735823,0.0012145573997233748,0.002547771745370565
NONFIBROTIC ILD ADJUDICATED,6,403110785,combined,7730,18,0.427479541263255,0.0,0.002041560059744693
NONFIBROTIC ILD ADJUDICATED,7,1572964934,zebra,7730,18,0.8495886641309358,0.00968980520977409,0.012535118549049989
NONFIBROTIC ILD ADJUDICATED,7,1572964934,genomic,7730,18,0.3422083909635777,0.0016035615491009683,0.0021743064361548848
NONFIBROTIC ILD ADJUDICATED,7,1572964934,combined,7730,18,0.6786501556016598,0.004169548178884278,0.005410567173122785
NONFIBROTIC ILD ADJUDICATED,8,891043506,zebra,7730,18,0.9075826994006455,0.01636698939603504,0.027429488528190712
NONFIBROTIC ILD ADJUDICATED,8,891043506,genomic,7730,18,0.4483056708160442,0.0,0.00217102060839066
NONFIBROTIC ILD ADJUDICATED,8,891043506,combined,7730,18,0.5571475910557862,0.0,0.0031933207341855287
NONFIBROTIC ILD ADJUDICATED,9,1206229167,zebra,7730,18,0.8576100737667127,0.00941390041493776,0.014038536148900306
NONFIBROTIC ILD ADJUDICATED,9,1206229167,genomic,7730,18,0.41981471876440757,0.002093418626094975,0.0025971929547227643
